VIN,accident,body_style,damage,drive_type,engine,ext_color,fuel,int_color,location,mileage,one_owner,personal,price,service,transmission,name,make,model,trim,special
19XFB2F52FE285609,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,White,Gasoline,Tan,"Great Neck, NY ","28,166",CARFAX 1-Owner vehicle,Personal lease vehicle,"9,980.00",Service history records,Automatic,2015,Honda,Civic LX,,
19XFB5F58CE000165,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Gray,Alternative,Tan,"Brooklyn, NY ","64,402",CARFAX 1-Owner vehicle,Personal vehicle,"6,999.00",Service history records,Automatic,2012,Honda,Civic ,,
JNKCV61F09M358790,Accident reported,Sedan,Previous owners,AWD,6 Cyl 3.7 L,Gray,Gasoline,Black,"Brooklyn, NY ","137,375",Service history records,Last owned in Virginia,"4,999.00","Types of owners: Personal lease, Personal",Automatic,2009,Infiniti,G37 ,,
WVWGU73C09E520071,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,AWD,6 Cyl 3.6 L,White,Gasoline,Unspecified,"Hawthorne, NJ ","137,798",Previous owners,"Types of owners: Personal lease, Personal","7,450.00",Service history records,Automatic,2009,Volkswagen,CC ,,
WBAPH7C51BE675995,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,RWD,6 Cyl 3.0 L,Blue,Gasoline,Tan,"Rahway, NJ ","110,789",CARFAX 1-Owner vehicle,Service history records,"5,995.00",At least 1 open recall,Automatic,2011,BMW,3,Series 328i,
1HGCR2F56FA032442,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Black,Gasoline,Black,"Brooklyn, NY ","49,056",CARFAX 1-Owner vehicle,Service history records,"14,999.00",At least 1 open recall,Automatic,2015,Honda,Accord Sport,,
1N4AL24E99C199046,No accidents reported to CARFAX,Coupe,No other damage reported to CARFAX,FWD,4 Cyl 2.5 L,Gray,Gasoline,Gray,"Brooklyn, NY ","93,386",CARFAX 1-Owner vehicle,Personal vehicle,"6,999.00",Service history records,Automatic,2009,Nissan,Altima S,,
WAUDFAFL4BN035229,No accidents reported to CARFAX,Sedan,Other damage reported,AWD,4 Cyl 2.0 L,Silver,Gasoline,Black,"Teterboro, NJ ","100,911",Previous owners,Personal vehicle,"8,999.00",Regular oil changes,Manual,2011,Audi,A4 Premium,,
1FMEU7DE4AUA74987,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,6 Cyl 4.0 L,White,Gasoline,Tan,"Rahway, NJ ","168,846",Previous owners,"Types of owners: Rental, Personal","5,995.00",Service history records,Automatic,2010,Ford,Explorer XLT,,
1G1PA5SG8D7229096,Accident reported,Sedan,CARFAX 1-Owner vehicle,FWD,4 Cyl 1.8 L,Blue,Gasoline,Gray,"Teterboro, NJ ","121,385",Personal lease vehicle,Detailed records available,"5,699.00",Last owned in New Jersey,Automatic,2013,Chevrolet,Cruze LS,,
1C3CCCAB0FN700123,Accident reported,Sedan,CARFAX 1-Owner vehicle,FWD,4 Cyl 2.4 L,Red,Gasoline,Unspecified,"Brooklyn, NY ","108,726",Personal vehicle,Detailed records available,"6,790.00",Last owned in New Jersey,Automatic,2015,Chrysler,200 Limited,,
2HNYD2H28AH525453,Accident reported,SUV,CARFAX 1-Owner vehicle,AWD,6 Cyl 3.7 L,Black,Gasoline,Unspecified,"Brooklyn, NY ","115,029",Personal vehicle,Detailed records available,"10,590.00",Last owned in Massachusetts,Automatic,2010,Acura,MDX ,,
5NPD84LF5JH229442,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,White,Gasoline,Black,"Irvington, NJ ","10,018",CARFAX 1-Owner vehicle,Detailed records available,"12,882.00",Last owned in Pennsylvania,Automatic,2018,Hyundai,Elantra SEL,,
1N4AA5AP1EC482709,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,6 Cyl 3.5 L,White,Gasoline,Black,"Wantagh, NY ","78,350",Previous owners,"Types of owners: Rental, Lease","10,490.00",Service history records,Automatic,2014,Nissan,Maxima S,,
WAUVFAFH4AN019983,No accidents reported to CARFAX,Convertible,No other damage reported to CARFAX,AWD,4 Cyl 2.0 L,Black,Gasoline,Brown,"Red Bank, NJ ","75,970",CARFAX 1-Owner vehicle,Service history records,"14,595.00",At least 1 open recall,Automatic,2010,Audi,A5 Prestige,,
5NPEC4AC6CH397301,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Gray,Gasoline,Gray,"Teterboro, NJ ","56,674",Previous owners,Personal vehicle,"8,595.00",At least 1 open recall,Automatic,2012,Hyundai,Sonata SE,,
1GNLVGED3AS129088,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,6 Cyl 3.6 L,Silver,Gasoline,Gray,"Somerville, NJ ","105,106",Previous owners,Personal vehicle,"8,994.00",At least 1 open recall,Automatic,2010,Chevrolet,Traverse LT,LT2,
4T1BF3EKXAU014819,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.5 L,Silver,Gasoline,Tan,"Queens Village, NY ","23,815",CARFAX 1-Owner vehicle,Last owned in New Jersey,"12,599.00",Personal lease vehicle,Automatic,2010,Toyota,Camry XLE,,
WVWED7AJ1DW017855,No accidents reported to CARFAX,Hatchback,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,Gray,Gasoline,Gray,"Neptune, NJ ","75,845",Previous owners,"Types of owners: Personal lease, Personal","11,700.00",Service history records,Manual,2013,Volkswagen,GTI ,,
2C4RDGBG3FR581068,No accidents reported to CARFAX,Minivan,No other damage reported to CARFAX,FWD,6 Cyl 3.6 L,Black,Flexible-Fuel,Black,"Jamaica, NY ","16,549",CARFAX 1-Owner vehicle,Rental vehicle,"13,699.00",Service history records,Automatic,2015,Dodge,Grand,Caravan SE,
5J6RE4H51AL049816,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,4 Cyl 2.4 L,Black,Gasoline,White,"Eatontown, NJ ","67,672",Previous owners,Service history records,"11,795.00",At least 1 open recall,Automatic,2010,Honda,CR-V EX,,
2GNALBEK7E6108204,Accident reported,SUV,CARFAX 1-Owner vehicle,FWD,4 Cyl 2.4 L,Black,Gasoline,Black,"Neptune, NJ ","106,316",Regular oil changes,Last owned in New Jersey,"11,000.00",Personal vehicle,Automatic,2014,Chevrolet,Equinox LT,LT1,
1C4PJLABXFW670089,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Green,Gasoline,Unspecified,"Inwood, NY ","25,095",CARFAX 1-Owner vehicle,Corporate fleet vehicle,"14,999.00",Service history records,Automatic,2015,Jeep,Cherokee Sport,,
3FA6P0H76FR217462,Accident reported,Sedan,CARFAX 1-Owner vehicle,FWD,4 Cyl 2.5 L,Red,Gasoline,Black,"Bronx, NY ","45,190",At least 1 open recall,Personal lease vehicle,"13,000.00",Regular oil changes,Automatic,2015,Ford,Fusion SE,,
1C3CCCAB7FN654788,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Unspecified,Gasoline,Unspecified,"Brooklyn, NY ","33,501",CARFAX 1-Owner vehicle,Personal lease vehicle,"12,999.00",Service history records,Automatic,2015,Chrysler,200 Limited,,
WBAWV5C57AP081990,Accident reported,Coupe,Previous owners,AWD,6 Cyl 3.0 L,Black,Gasoline,Black,"Mountain Lakes, NJ ","98,439",At least 1 open recall,"Types of owners: Personal lease, Personal","9,475.00",Service history records,Automatic,2010,BMW,3,Series 328i,xDrive
2T1BURHE6EC065966,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Silver,Gasoline,Gray,"Stratford, CT ","109,011",CARFAX 1-Owner vehicle,Personal lease vehicle,"10,490.00",Service history records,Manual,2014,Toyota,Corolla S,Premium,
1GNDT13S342256601,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,6 Cyl 4.2 L,Gray,Gasoline,Gray,"Nyack, NY ","87,296",CARFAX 1-Owner vehicle,Personal vehicle,"6,995.00",Service history records,Automatic,2004,Chevrolet,TrailBlazer LT,,
3VWD17AJ0FM310134,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Black,Gasoline,Black,"Rockaway, NJ ","28,900",CARFAX 1-Owner vehicle,Service history records,"12,721.00",VW WorldAuto Certified Pre-Owned,Automatic,2015,Volkswagen,Jetta SE,,
4T1BK3EK1AU105358,No accidents reported to CARFAX,Sedan,Other damage reported,FWD,6 Cyl 3.5 L,Black,Gasoline,Gray,"Greenvale, NY ","47,517",Previous owners,Personal vehicle,"10,395.00",Service history records,Automatic,2010,Toyota,Camry SE,,
1GKER337X8J259143,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,FWD,6 Cyl 3.6 L,Unspecified,Gasoline,Unspecified,"New Brunswick, NJ ","109,145",Previous owners,Service history records,"9,995.00",At least 1 open recall,Automatic,2008,GMC,Acadia SLT,SLT-2,
19XFB2F58DE209096,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Gray,Gasoline,Unspecified,"Freehold, NJ ","51,823",Previous owners,"Types of owners: Corporate, Personal","10,899.00",Service history records,Automatic,2013,Honda,Civic LX,,
1FA6P0HD6F5116317,Accident reported,Sedan,Other damage reported,FWD,4 Cyl 1.5 L,Gray,Gasoline,Unspecified,"Long Island City, NY ","26,571",CARFAX 1-Owner vehicle,Personal lease vehicle,"13,995.00",At least 1 open recall,Unspecified,2015,Ford,Fusion SE,,
1FTPW14V67KC77808,No accidents reported to CARFAX,Pickup,No other damage reported to CARFAX,4WD,8 Cyl 5.4 L,Red,Flexible-Fuel,Tan,"Bronx, NY ","133,600",Previous owners,"Types of owners: Commercial, Personal","12,498.00",Service history records,Automatic,2007,Ford,F-150 King,Ranch,
3N1AB7AP1GL651432,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,White,Gasoline,Black,"Blauvelt, NY ","43,060",CARFAX 1-Owner vehicle,Rental vehicle,"12,599.00",Nissan Certified Pre-Owned,Automatic,2016,Nissan,Sentra SV,,
3N1AB7APXHL636798,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Black,Gasoline,Black,"Newburgh, NY ","38,371",CARFAX 1-Owner vehicle,Rental vehicle,"13,274.00",Nissan Certified Pre-Owned,Automatic,2017,Nissan,Sentra SV,,
1G1PE5SB0G7199198,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.4 L,Gray,Gasoline,Black,"Little Falls, NJ ","24,260",CARFAX 1-Owner vehicle,Last owned in New Jersey,"12,674.00",Personal lease vehicle,Automatic,2016,Chevrolet,Cruze LT,LT1,
3N1AB7AP4GY282780,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,White,Gasoline,Unspecified,"Huntington Station, NY ","41,120",CARFAX 1-Owner vehicle,Last owned in Oregon,"9,736.00",Rental vehicle,Automatic,2016,Nissan,Sentra SR,,
KNMAT2MTXGP704820,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,FWD,4 Cyl 2.5 L,Silver,Gasoline,Black,"South Plainfield, NJ ","46,414",CARFAX 1-Owner vehicle,Last owned in Tennessee,"13,899.00",Rental vehicle,Automatic,2016,Nissan,Rogue SV,,
1FMHK8F84BGA81809,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,6 Cyl 3.5 L,Black,Gasoline,Black,"Haskell, NJ ","109,702",Previous owners,Last owned in Pennsylvania,"14,995.00",Personal vehicle,Automatic,2011,Ford,Explorer Limited,Edition,
1N4AL3AP2FC217636,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.5 L,White,Gasoline,Black,"Yonkers, NY ","33,979",CARFAX 1-Owner vehicle,Personal lease vehicle,"13,107.00",Service history records,Automatic,2015,Nissan,Altima S,,
3N1CN7AP2HL830807,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.6 L,Black,Gasoline,Black,"Springfield, NJ ","9,436",Previous owners,Service history records,"12,995.00",Nissan Certified Pre-Owned,Automatic,2017,Nissan,Versa SV,,
JTEES43A482070690,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,6 Cyl 3.5 L,Silver,Gasoline,Gray,"Fair Lawn, NJ ","60,003",CARFAX 1-Owner vehicle,Personal lease vehicle,"14,700.00",Service history records,Automatic,2008,Toyota,Highlander Sport,,
WAUGL78E67A220856,Accident reported,Sedan,Previous owners,AWD,8 Cyl 4.2 L,Black,Gasoline,Black,"Lindenhurst, NY ","109,039",Service history records,Last owned in New York,"11,985.00",Personal vehicle,Manual,2007,Audi,S4 ,,
5FNRL38407B143906,Accident reported: minor damage,Minivan,Previous owners,FWD,6 Cyl 3.5 L,Gray,Gasoline,Gray,"South Amboy, NJ ","138,542",Service history records,Last owned in New Jersey,"5,990.00",Personal vehicle,Automatic,2007,Honda,Odyssey EX,,
3C3CFFAR6CT127648,No accidents reported to CARFAX,Hatchback,No other damage reported to CARFAX,FWD,4 Cyl 1.4 L,White,Gasoline,Black,"Asbury Park, NJ ","78,131",Previous owners,Service history records,"6,150.00",At least 1 open recall,Manual,2012,Fiat,500 Pop,,
KMHCT4AE3DU518197,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.6 L,Red,Gasoline,Gray,"Elizabethport, NJ ","119,853",CARFAX 1-Owner vehicle,Personal vehicle,"6,995.00",Service history records,Automatic,2013,Hyundai,Accent GLS,,
1HGCP26718A003148,No accidents reported to CARFAX,Sedan,Other damage reported,FWD,4 Cyl 2.4 L,Gold,Gasoline,Tan,"West Nyack, NY ","62,847",Previous owners,Service history records,"8,995.00",At least 1 open recall,Automatic,2008,Honda,Accord EX,,
1FADP3K23EL211671,No accidents reported to CARFAX,Hatchback,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,Silver,Gasoline,Black,"Vauxhall, NJ ","83,039",Previous owners,"Types of owners: Rental, Personal","8,995.00",Service history records,Automatic,2014,Ford,Focus SE,,
JN8AZ18W09W108545,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,6 Cyl 3.5 L,Bronze,Gasoline,Tan,"Bayside, NY ","127,971",CARFAX 1-Owner vehicle,Personal vehicle,"9,795.00",Service history records,Automatic,2009,Nissan,Murano LE,,
3VWD07AJ9EM404353,No accidents reported to CARFAX,Sedan,Other damage reported,FWD,4 Cyl 1.8 L,White,Gasoline,Tan,"Randolph, OH ","69,656",Previous owners,Personal vehicle,"9,700.00",Service history records,Automatic,2014,Volkswagen,Jetta SE,,
JNKCV51F86M615779,Accident reported,Sedan,Other damage reported,AWD,6 Cyl 3.5 L,Gray,Gasoline,Black,"Long Island City, NY ","121,243",Previous owners,"Types of owners: Personal lease, Personal","5,981.00",Service history records,Automatic,2006,Infiniti,G35 ,,
2G1WB5EN2A1137669,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,6 Cyl 3.5 L,Black,Gasoline,Gray,"Edison, NJ ","60,704",CARFAX 1-Owner vehicle,Personal vehicle,"9,995.00",Regular oil changes,Automatic,2010,Chevrolet,Impala LT,,
5NMSH13E28H141436,No accidents reported to CARFAX,SUV,Other damage reported,FWD,6 Cyl 3.3 L,Silver,Gasoline,Black,"East Brunswick, NJ ","67,000",Previous owners,Personal vehicle,"8,950.00",Service history records,Automatic,2008,Hyundai,Santa,Fe Limited,Edition
2C3CCABG5CH207850,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,RWD,6 Cyl 3.6 L,Black,Gasoline,Black,"Paterson, NJ ","45,207",Previous owners,Service history records,"14,789.00",At least 1 open recall,Automatic,2012,Chrysler,300 S,,
2GCEK13C381239649,No accidents reported to CARFAX,Pickup,No other damage reported to CARFAX,4WD,8 Cyl 4.8 L,Blue,Gasoline,Unspecified,"Rockaway, NJ ","113,538",CARFAX 1-Owner vehicle,Service history records,"14,927.00",At least 1 open recall,Automatic,2008,Chevrolet,Silverado,1500 ,
1HGCR2F32FA160479,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Black,Gasoline,Black,"Huntington, NY ","43,638",CARFAX 1-Owner vehicle,Personal lease vehicle,"14,888.00",Service history records,Automatic,2015,Honda,Accord LX,,
2T1BR32E47C728137,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Gray,Gasoline,Black,"New Rochelle, NY ","131,626",CARFAX 1-Owner vehicle,Personal vehicle,"5,300.00",Service history records,Automatic,2007,Toyota,Corolla CE,,
1FBSS31L97DB28404,No accidents reported to CARFAX,Van,No other damage reported to CARFAX,RWD,8 Cyl 5.4 L,White,Gasoline,Gray,"Hamburg, NJ ","76,423",Previous owners,"Types of owners: Corporate fleet, Personal","11,877.00",Service history records,Automatic,2007,Ford,Econoline E-350,XLT,
5N1AA0NC1AN610333,Accident reported,SUV,Previous owners,4WD,8 Cyl 5.6 L,Black,Gasoline,Black,"Brooklyn, NY ","107,151",At least 1 open recall,Personal vehicle,"13,995.00",Service history records,Automatic,2010,Nissan,Armada Platinum,Edition,
1HGCP2F70AA099196,Accident reported,Sedan,Previous owners,FWD,4 Cyl 2.4 L,Black,Gasoline,Black,"Yonkers, NY ","80,861",Service history records,Last owned in New York,"8,070.00","Types of owners: Personal lease, Personal",Automatic,2010,Honda,Accord EX,,
1FTPX145X5NA59847,No accidents reported to CARFAX,Pickup,No other damage reported to CARFAX,4WD,8 Cyl 5.4 L,Black,Gasoline,Unspecified,"Bloomfield, NJ ",0,Previous owners,"Types of owners: Commercial, Personal","7,980.00",Service history records,Automatic,2005,Ford,F-150 FX4,,
5GAEV23728J125648,Accident reported,SUV,Previous owners,AWD,6 Cyl 3.6 L,Blue,Gasoline,Unspecified,"North Brunswick, NJ ","111,106",Service history records,Last owned in New Jersey,"10,195.00",Personal vehicle,Automatic,2008,Buick,Enclave CXL,,
5NPDH4AE0EH481289,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Bronze,Gasoline,Tan,"Shrewsbury, NJ ","51,290",CARFAX 1-Owner vehicle,Service history records,"14,483.00",Hyundai Certified Pre-Owned,Automatic,2014,Hyundai,Elantra Limited,Edition,
JTJHT00W733535521,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,8 Cyl 4.7 L,Black,Gasoline,Tan,"Newark, NJ ","221,751",CARFAX 1-Owner vehicle,Service history records,"8,595.00",At least 1 open recall,Automatic,2003,Lexus,LX 470,,
WBAXH5C50CDW05075,No accidents reported to CARFAX,Sedan,Other damage reported,AWD,4 Cyl 2.0 L,Gray,Gasoline,Black,"Huntington, NY ","87,530",Previous owners,"Types of owners: Personal lease, Personal","14,995.00",Service history records,Automatic,2012,BMW,5,Series 528i,xDrive
4S3BMAA63D1003254,Structural damage reported,Sedan,Previous owners,AWD,4 Cyl 2.5 L,Blue,Gasoline,Tan,"Lodi, NJ ","147,047",Service history records,Last owned in New Jersey,"7,480.00",Personal vehicle,Manual,2013,Subaru,Legacy 2.5i,,
5NPDH4AE2EH528953,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,White,Gasoline,Unspecified,"Brooklyn, NY ","52,098",Previous owners,Service history record,"10,299.00",Hyundai Certified Pre-Owned,Automatic,2014,Hyundai,Elantra SE,,
4T1BG22KXWU253581,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.2 L,Gray,Gasoline,Unspecified,"Union, NJ ","81,235",CARFAX 1-Owner vehicle,Personal vehicle,"4,995.00",Service history records,Automatic,1998,Toyota,Camry LE,,
1C3CCCCB6FN757987,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Red,Gasoline,Black,"Totowa, NJ ","53,355",CARFAX 1-Owner vehicle,Service history records,"12,495.00",Chrysler Certified Pre-Owned,Automatic,2015,Chrysler,200 C,,
1FA6P0HD4E5400527,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.5 L,White,Gasoline,Black,"Vauxhall, NJ ","78,817",CARFAX 1-Owner vehicle,Personal lease vehicle,"12,470.00",Regular oil changes,Automatic,2014,Ford,Fusion SE,,
5NPDH4AE6FH615336,Structural damage reported,Sedan,Other damage reported,FWD,4 Cyl 1.8 L,Blue,Gasoline,Gray,"Bronx, NY ","23,052",Previous owners,Personal vehicle,"12,167.00",Regular oil changes,Automatic,2015,Hyundai,Elantra SE,,
2T1BU4EE4CC807186,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Gray,Gasoline,Gray,"Green Brook, NJ ","123,275",CARFAX 1-Owner vehicle,Personal vehicle,"8,798.00",Service history record,Automatic,2012,Toyota,Corolla L,,
1HGCP2F34AA088943,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Blue,Gasoline,Gray,"Edison, NJ ","119,464",CARFAX 1-Owner vehicle,Personal vehicle,"8,295.00",Service history records,Automatic,2010,Honda,Accord LX,,
1GNKVGED4CJ173802,Accident reported,SUV,Previous owners,AWD,6 Cyl 3.6 L,Blue,Gasoline,Gray,"Saint James, NY ","76,770",Service history records,Last owned in New York,"14,440.00","Types of owners: Personal lease, Personal",Automatic,2012,Chevrolet,Traverse LT,LT1,
5N3AA08C25N805978,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,8 Cyl 5.6 L,Silver,Gasoline,Gray,"Selden, NY ","105,301",CARFAX 1-Owner vehicle,Service history records,"12,990.00",At least 1 open recall,Automatic,2005,Infiniti,QX56 ,,
JTMBF4DVXBD042269,No accidents reported to CARFAX,SUV,Other damage reported,4WD,4 Cyl 2.5 L,Black,Gasoline,Tan,"Bayside, NY ","86,442",Previous owners,"Types of owners: Personal lease, Personal","10,995.00",Service history records,Automatic,2011,Toyota,RAV4 ,,
1GNUKJE3XAR269809,Accident reported,SUV,Other damage reported,4WD,8 Cyl 5.3 L,Black,Flexible-Fuel,Black,"Lafayette, NJ ","144,568",Previous owners,Personal vehicle,"12,900.00",Service history records,Automatic,2010,Chevrolet,Suburban,1500 LT,
4M2EU48E48UJ04314,Accident reported,SUV,Other damage reported,AWD,6 Cyl 4.0 L,Red,Gasoline,Tan,"Selden, NY ","114,480",Previous owners,Personal vehicle,"7,990.00",Service history records,Automatic,2008,Mercury,Mountaineer Premier,,
3N1AB7AP0DL773467,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Silver,Gasoline,Black,"Totowa, NJ ","47,417",Previous owners,"Types of owners: Personal lease, Personal","9,995.00",Service history records,Automatic,2013,Nissan,Sentra SV,,
4T1BF1FKXCU161583,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.5 L,Silver,Gasoline,Gray,"Jersey City, NJ ","85,402",Previous owners,"Types of owners: Commercial, Personal","10,000.00",Service history records,Automatic,2012,Toyota,Camry LE,,
3FA6P0H97FR299557,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,White,Gasoline,Unspecified,"Passaic, NJ ","58,846",CARFAX 1-Owner vehicle,Personal lease vehicle,"14,995.00",Regular oil changes,Automatic,2015,Ford,Fusion SE,,
1GNFK23019J115474,Accident reported,SUV,Previous owners,4WD,8 Cyl 5.3 L,Gray,Flexible-Fuel,Gray,"Lafayette, NJ ","124,488",Service history records,Last owned in New Jersey,"13,900.00",Personal vehicle,Automatic,2009,Chevrolet,Tahoe LT,LT2,
WAUCFAFH2CN000312,No accidents reported to CARFAX,Convertible,No other damage reported to CARFAX,AWD,4 Cyl 2.0 L,White,Gasoline,Tan,"Jersey City, NJ ","101,850",CARFAX 1-Owner vehicle,Service history records,"15,000.00",At least 1 open recall,Automatic,2012,Audi,A5 Premium,,
1FMCU49H07KA86034,Accident reported: airbag deployed,SUV,Previous owners,FWD,4 Cyl 2.3 L,Gray,Hybrid,Unspecified,"Hasbrouck Heights, NJ ","134,503",Service history records,Last owned in New York,"3,999.00",Personal vehicle,Automatic,2007,Ford,Escape ,,
1HGFA16577L054034,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Black,Gasoline,Black,"Elizabeth, NJ ","89,489",CARFAX 1-Owner vehicle,Personal vehicle,"7,495.00",Service history records,Automatic,2007,Honda,Civic LX,,
